"","year","state","month","number","date"
"3102",2010,"Minas Gerais","December",105,2010-01-01
"3103",2011,"Minas Gerais","December",43,2011-01-01
"3104",2012,"Minas Gerais","December",189,2012-01-01
"3105",2013,"Minas Gerais","December",98,2013-01-01
"3106",2014,"Minas Gerais","December",155,2014-01-01
"3107",2015,"Minas Gerais","December",295,2015-01-01
"3108",2016,"Minas Gerais","December",91,2016-01-01
"3109",1998,"Pará","January",0,1998-01-01
"3110",1999,"Pará","January",87,1999-01-01
"3111",2000,"Pará","January",30,2000-01-01
"3112",2001,"Pará","January",34,2001-01-01
"3113",2002,"Pará","January",144,2002-01-01
"3114",2003,"Pará","January",900,2003-01-01
"3115",2004,"Pará","January",579,2004-01-01
"3116",2005,"Pará","January",1.768,2005-01-01
"3117",2006,"Pará","January",403,2006-01-01
"3118",2007,"Pará","January",467,2007-01-01
"3119",2008,"Pará","January",131,2008-01-01
"3120",2009,"Pará","January",241,2009-01-01
"3121",2010,"Pará","January",437,2010-01-01
"3122",2011,"Pará","January",108,2011-01-01
"3123",2012,"Pará","January",392,2012-01-01
"3124",2013,"Pará","January",167,2013-01-01
"3125",2014,"Pará","January",251,2014-01-01
"3126",2015,"Pará","January",725,2015-01-01
"3127",2016,"Pará","January",1.322,2016-01-01
"3128",2017,"Pará","January",219,2017-01-01
"3129",1998,"Pará","February",0,1998-01-01
"3130",1999,"Pará","February",285,1999-01-01
"3131",2000,"Pará","February",29,2000-01-01
"3132",2001,"Pará","February",16,2001-01-01
"3133",2002,"Pará","February",120,2002-01-01
"3134",2003,"Pará","February",34,2003-01-01
"3135",2004,"Pará","February",20,2004-01-01
"3136",2005,"Pará","February",85,2005-01-01
"3137",2006,"Pará","February",49,2006-01-01
"3138",2007,"Pará","February",23,2007-01-01
"3139",2008,"Pará","February",54,2008-01-01
"3140",2009,"Pará","February",15,2009-01-01
"3141",2010,"Pará","February",102,2010-01-01
"3142",2011,"Pará","February",13,2011-01-01
"3143",2012,"Pará","February",63,2012-01-01
"3144",2013,"Pará","February",30,2013-01-01
"3145",2014,"Pará","February",37,2014-01-01
"3146",2015,"Pará","February",108,2015-01-01
"3147",2016,"Pará","February",430,2016-01-01
"3148",2017,"Pará","February",14,2017-01-01
"3149",1998,"Pará","March",0,1998-01-01
"3150",1999,"Pará","March",7,1999-01-01
"3151",2000,"Pará","March",181,2000-01-01
"3152",2001,"Pará","March",0,2001-01-01
"3153",2002,"Pará","March",14,2002-01-01
"3154",2003,"Pará","March",27,2003-01-01
"3155",2004,"Pará","March",22,2004-01-01
"3156",2005,"Pará","March",21,2005-01-01
"3157",2006,"Pará","March",10,2006-01-01
"3158",2007,"Pará","March",6,2007-01-01
"3159",2008,"Pará","March",4,2008-01-01
"3160",2009,"Pará","March",4,2009-01-01
"3161",2010,"Pará","March",110,2010-01-01
"3162",2011,"Pará","March",21,2011-01-01
"3163",2012,"Pará","March",30,2012-01-01
"3164",2013,"Pará","March",19,2013-01-01
"3165",2014,"Pará","March",34,2014-01-01
"3166",2015,"Pará","March",61,2015-01-01
"3167",2016,"Pará","March",81,2016-01-01
"3168",2017,"Pará","March",42,2017-01-01
"3169",1998,"Pará","April",0,1998-01-01
"3170",1999,"Pará","April",6,1999-01-01
"3171",2000,"Pará","April",40,2000-01-01
"3172",2001,"Pará","April",0,2001-01-01
"3173",2002,"Pará","April",11,2002-01-01
"3174",2003,"Pará","April",14,2003-01-01
"3175",2004,"Pará","April",23,2004-01-01
"3176",2005,"Pará","April",14,2005-01-01
"3177",2006,"Pará","April",2,2006-01-01
"3178",2007,"Pará","April",0,2007-01-01
"3179",2008,"Pará","April",7,2008-01-01
"3180",2009,"Pará","April",8,2009-01-01
"3181",2010,"Pará","April",22,2010-01-01
"3182",2011,"Pará","April",10,2011-01-01
"3183",2012,"Pará","April",11,2012-01-01
"3184",2013,"Pará","April",20,2013-01-01
"3185",2014,"Pará","April",27,2014-01-01
"3186",2015,"Pará","April",27,2015-01-01
"3187",2016,"Pará","April",66,2016-01-01
"3188",2017,"Pará","April",45,2017-01-01
"3189",1998,"Pará","May",0,1998-01-01
"3190",1999,"Pará","May",4,1999-01-01
"3191",2000,"Pará","May",12,2000-01-01
"3192",2001,"Pará","May",7,2001-01-01
"3193",2002,"Pará","May",18,2002-01-01
"3194",2003,"Pará","May",3,2003-01-01
"3195",2004,"Pará","May",44,2004-01-01
"3196",2005,"Pará","May",37,2005-01-01
"3197",2006,"Pará","May",0,2006-01-01
"3198",2007,"Pará","May",9,2007-01-01
"3199",2008,"Pará","May",0,2008-01-01
"3200",2009,"Pará","May",7,2009-01-01
"3201",2010,"Pará","May",57,2010-01-01
"3202",2011,"Pará","May",16,2011-01-01
"3203",2012,"Pará","May",59,2012-01-01
"3204",2013,"Pará","May",42,2013-01-01
"3205",2014,"Pará","May",70,2014-01-01
"3206",2015,"Pará","May",95,2015-01-01
"3207",2016,"Pará","May",154,2016-01-01
"3208",2017,"Pará","May",114,2017-01-01
"3209",1998,"Pará","June",58,1998-01-01
"3210",1999,"Pará","June",37,1999-01-01
"3211",2000,"Pará","June",59,2000-01-01
"3212",2001,"Pará","June",42,2001-01-01
"3213",2002,"Pará","June",149,2002-01-01
"3214",2003,"Pará","June",64,2003-01-01
"3215",2004,"Pará","June",340,2004-01-01
"3216",2005,"Pará","June",304,2005-01-01
"3217",2006,"Pará","June",78,2006-01-01
"3218",2007,"Pará","June",129,2007-01-01
"3219",2008,"Pará","June",48,2008-01-01
"3220",2009,"Pará","June",38,2009-01-01
"3221",2010,"Pará","June",94,2010-01-01
"3222",2011,"Pará","June",105,2011-01-01
"3223",2012,"Pará","June",183,2012-01-01
"3224",2013,"Pará","June",173,2013-01-01
"3225",2014,"Pará","June",319,2014-01-01
"3226",2015,"Pará","June",265,2015-01-01
"3227",2016,"Pará","June",502,2016-01-01
"3228",2017,"Pará","June",679,2017-01-01
"3229",1998,"Pará","July",638,1998-01-01
"3230",1999,"Pará","July",982,1999-01-01
"3231",2000,"Pará","July",426,2000-01-01
"3232",2001,"Pará","July",708,2001-01-01
"3233",2002,"Pará","July",772,2002-01-01
"3234",2003,"Pará","July",1.571,2003-01-01
"3235",2004,"Pará","July",4.436,2004-01-01
"3236",2005,"Pará","July",4.364,2005-01-01
"3237",2006,"Pará","July",615,2006-01-01
"3238",2007,"Pará","July",476,2007-01-01
"3239",2008,"Pará","July",971,2008-01-01
"3240",2009,"Pará","July",397,2009-01-01
"3241",2010,"Pará","July",1.432,2010-01-01
"3242",2011,"Pará","July",632,2011-01-01
"3243",2012,"Pará","July",661,2012-01-01
"3244",2013,"Pará","July",447,2013-01-01
"3245",2014,"Pará","July",825,2014-01-01
"3246",2015,"Pará","July",906,2015-01-01
"3247",2016,"Pará","July",1.579,2016-01-01
"3248",2017,"Pará","July",4.985,2017-01-01
"3249",1998,"Pará","August",6.815,1998-01-01
"3250",1999,"Pará","August",6.178,1999-01-01
"3251",2000,"Pará","August",5.484,2000-01-01
"3252",2001,"Pará","August",9.043,2001-01-01
"3253",2002,"Pará","August",15.664,2002-01-01
"3254",2003,"Pará","August",6.255,2003-01-01
"3255",2004,"Pará","August",12.812,2004-01-01
"3256",2005,"Pará","August",13.055,2005-01-01
"3257",2006,"Pará","August",7.575,2006-01-01
"3258",2007,"Pará","August",14.352,2007-01-01
"3259",2008,"Pará","August",4.435,2008-01-01
"3260",2009,"Pará","August",3.859,2009-01-01
"3261",2010,"Pará","August",18.13,2010-01-01
"3262",2011,"Pará","August",2.195,2011-01-01
"3263",2012,"Pará","August",6.964,2012-01-01
"3264",2013,"Pará","August",2.161,2013-01-01
"3265",2014,"Pará","August",8.555,2014-01-01
"3266",2015,"Pará","August",7.913,2015-01-01
"3267",2016,"Pará","August",4.863,2016-01-01
"3268",2017,"Pará","August",11.962,2017-01-01
"3269",1998,"Pará","September",6.237,1998-01-01
"3270",1999,"Pará","September",4.419,1999-01-01
"3271",2000,"Pará","September",2.569,2000-01-01
"3272",2001,"Pará","September",6.139,2001-01-01
"3273",2002,"Pará","September",5.609,2002-01-01
"3274",2003,"Pará","September",8.447,2003-01-01
"3275",2004,"Pará","September",9.471,2004-01-01
"3276",2005,"Pará","September",9.032,2005-01-01
"3277",2006,"Pará","September",8.372,2006-01-01
"3278",2007,"Pará","September",14.59,2007-01-01
"3279",2008,"Pará","September",6.294,2008-01-01
"3280",2009,"Pará","September",6.051,2009-01-01
"3281",2010,"Pará","September",10.81,2010-01-01
"3282",2011,"Pará","September",5.185,2011-01-01
"3283",2012,"Pará","September",6.87,2012-01-01
"3284",2013,"Pará","September",3.36,2013-01-01
"3285",2014,"Pará","September",6.787,2014-01-01
"3286",2015,"Pará","September",11.068,2015-01-01
"3287",2016,"Pará","September",3.953,2016-01-01
"3288",2017,"Pará","September",25.004,2017-01-01
"3289",1998,"Pará","October",3.665,1998-01-01
"3290",1999,"Pará","October",5.026,1999-01-01
"3291",2000,"Pará","October",4.313,2000-01-01
"3292",2001,"Pará","October",5.096,2001-01-01
"3293",2002,"Pará","October",5.189,2002-01-01
"3294",2003,"Pará","October",3.803,2003-01-01
"3295",2004,"Pará","October",4.726,2004-01-01
"3296",2005,"Pará","October",5.083,2005-01-01
"3297",2006,"Pará","October",5.964,2006-01-01
"3298",2007,"Pará","October",2.504,2007-01-01
"3299",2008,"Pará","October",6.653,2008-01-01
"3300",2009,"Pará","October",6.342,2009-01-01
"3301",2010,"Pará","October",3.843,2010-01-01
"3302",2011,"Pará","October",3.141,2011-01-01
"3303",2012,"Pará","October",3.714,2012-01-01
"3304",2013,"Pará","October",4.921,2013-01-01
"3305",2014,"Pará","October",6.448,2014-01-01
"3306",2015,"Pará","October",7.781,2015-01-01
"3307",2016,"Pará","October",5.281,2016-01-01
"3308",2017,"Pará","October",7.628,2017-01-01
"3309",1998,"Pará","November",1.861,1998-01-01
"3310",1999,"Pará","November",2.682,1999-01-01
"3311",2000,"Pará","November",3.366,2000-01-01
"3312",2001,"Pará","November",4.938,2001-01-01
"3313",2002,"Pará","November",7.996,2002-01-01
"3314",2003,"Pará","November",6.195,2003-01-01
"3315",2004,"Pará","November",9.842,2004-01-01
"3316",2005,"Pará","November",4.968,2005-01-01
"3317",2006,"Pará","November",2.883,2006-01-01
"3318",2007,"Pará","November",2.89,2007-01-01
"3319",2008,"Pará","November",2.403,2008-01-01
"3320",2009,"Pará","November",10.012,2009-01-01
"3321",2010,"Pará","November",4.417,2010-01-01
"3322",2011,"Pará","November",3.043,2011-01-01
"3323",2012,"Pará","November",6.156,2012-01-01
"3324",2013,"Pará","November",3.688,2013-01-01
"3325",2014,"Pará","November",7.767,2014-01-01
"3326",2015,"Pará","November",9.643,2015-01-01
"3327",2016,"Pará","November",7.879,2016-01-01
"3328",2017,"Pará","November",9.079,2017-01-01
"3329",1998,"Pará","December",1.008,1998-01-01
"3330",1999,"Pará","December",766,1999-01-01
"3331",2000,"Pará","December",1.698,2000-01-01
"3332",2001,"Pará","December",2.564,2001-01-01
"3333",2002,"Pará","December",3.118,2002-01-01
"3334",2003,"Pará","December",4.787,2003-01-01
"3335",2004,"Pará","December",5.508,2004-01-01
"3336",2005,"Pará","December",1.495,2005-01-01
"3337",2006,"Pará","December",1.417,2006-01-01
"3338",2007,"Pará","December",689,2007-01-01
"3339",2008,"Pará","December",684,2008-01-01
"3340",2009,"Pará","December",2.832,2009-01-01
"3341",2010,"Pará","December",1.612,2010-01-01
"3342",2011,"Pará","December",3.218,2011-01-01
"3343",2012,"Pará","December",1.812,2012-01-01
"3344",2013,"Pará","December",5.514,2013-01-01
"3345",2014,"Pará","December",4.828,2014-01-01
"3346",2015,"Pará","December",6.61,2015-01-01
"3347",2016,"Pará","December",3.3,2016-01-01
"3348",1998,"Paraiba","January",0,1998-01-01
"3349",1999,"Paraiba","January",26,1999-01-01
"3350",2000,"Paraiba","January",0,2000-01-01
"3351",2001,"Paraiba","January",11,2001-01-01
"3352",2002,"Paraiba","January",5,2002-01-01
"3353",2003,"Paraiba","January",70,2003-01-01
"3354",2004,"Paraiba","January",33,2004-01-01
"3355",2005,"Paraiba","January",178,2005-01-01
"3356",2006,"Paraiba","January",83,2006-01-01
"3357",2007,"Paraiba","January",69,2007-01-01
"3358",2008,"Paraiba","January",77,2008-01-01
"3359",2009,"Paraiba","January",115,2009-01-01
"3360",2010,"Paraiba","January",46,2010-01-01
"3361",2011,"Paraiba","January",11,2011-01-01
"3362",2012,"Paraiba","January",61,2012-01-01
"3363",2013,"Paraiba","January",38,2013-01-01
"3364",2014,"Paraiba","January",75,2014-01-01
"3365",2015,"Paraiba","January",42,2015-01-01
"3366",2016,"Paraiba","January",18,2016-01-01
"3367",2017,"Paraiba","January",23,2017-01-01
"3368",1998,"Paraiba","February",0,1998-01-01
"3369",1999,"Paraiba","February",2,1999-01-01
"3370",2000,"Paraiba","February",11,2000-01-01
"3371",2001,"Paraiba","February",6,2001-01-01
"3372",2002,"Paraiba","February",18,2002-01-01
"3373",2003,"Paraiba","February",3,2003-01-01
"3374",2004,"Paraiba","February",3,2004-01-01
"3375",2005,"Paraiba","February",15,2005-01-01
"3376",2006,"Paraiba","February",7,2006-01-01
"3377",2007,"Paraiba","February",7,2007-01-01
"3378",2008,"Paraiba","February",20,2008-01-01
"3379",2009,"Paraiba","February",9,2009-01-01
"3380",2010,"Paraiba","February",15,2010-01-01
"3381",2011,"Paraiba","February",5,2011-01-01
"3382",2012,"Paraiba","February",15,2012-01-01
"3383",2013,"Paraiba","February",9,2013-01-01
"3384",2014,"Paraiba","February",6,2014-01-01
"3385",2015,"Paraiba","February",15,2015-01-01
"3386",2016,"Paraiba","February",4,2016-01-01
"3387",2017,"Paraiba","February",8,2017-01-01
"3388",1998,"Paraiba","March",0,1998-01-01
"3389",1999,"Paraiba","March",1,1999-01-01
"3390",2000,"Paraiba","March",5,2000-01-01
"3391",2001,"Paraiba","March",0,2001-01-01
"3392",2002,"Paraiba","March",3,2002-01-01
"3393",2003,"Paraiba","March",0,2003-01-01
"3394",2004,"Paraiba","March",3,2004-01-01
"3395",2005,"Paraiba","March",13,2005-01-01
"3396",2006,"Paraiba","March",4,2006-01-01
"3397",2007,"Paraiba","March",1,2007-01-01
"3398",2008,"Paraiba","March",8,2008-01-01
"3399",2009,"Paraiba","March",2,2009-01-01
"3400",2010,"Paraiba","March",16,2010-01-01
"3401",2011,"Paraiba","March",6,2011-01-01
"3402",2012,"Paraiba","March",4,2012-01-01
"3403",2013,"Paraiba","March",3,2013-01-01
"3404",2014,"Paraiba","March",18,2014-01-01
"3405",2015,"Paraiba","March",7,2015-01-01
"3406",2016,"Paraiba","March",1,2016-01-01
"3407",2017,"Paraiba","March",2,2017-01-01
"3408",1998,"Paraiba","April",0,1998-01-01
"3409",1999,"Paraiba","April",3,1999-01-01
"3410",2000,"Paraiba","April",1,2000-01-01
"3411",2001,"Paraiba","April",0,2001-01-01
"3412",2002,"Paraiba","April",1,2002-01-01
"3413",2003,"Paraiba","April",0,2003-01-01
"3414",2004,"Paraiba","April",3,2004-01-01
"3415",2005,"Paraiba","April",2,2005-01-01
"3416",2006,"Paraiba","April",0,2006-01-01
"3417",2007,"Paraiba","April",0,2007-01-01
"3418",2008,"Paraiba","April",0,2008-01-01
"3419",2009,"Paraiba","April",1,2009-01-01
"3420",2010,"Paraiba","April",2,2010-01-01
"3421",2011,"Paraiba","April",2,2011-01-01
"3422",2012,"Paraiba","April",13,2012-01-01
"3423",2013,"Paraiba","April",6,2013-01-01
"3424",2014,"Paraiba","April",8,2014-01-01
"3425",2015,"Paraiba","April",11,2015-01-01
"3426",2016,"Paraiba","April",1,2016-01-01
"3427",2017,"Paraiba","April",1,2017-01-01
"3428",1998,"Paraiba","May",0,1998-01-01
"3429",1999,"Paraiba","May",0,1999-01-01
"3430",2000,"Paraiba","May",0,2000-01-01
"3431",2001,"Paraiba","May",4,2001-01-01
"3432",2002,"Paraiba","May",1,2002-01-01
"3433",2003,"Paraiba","May",0,2003-01-01
"3434",2004,"Paraiba","May",1,2004-01-01
"3435",2005,"Paraiba","May",0,2005-01-01
"3436",2006,"Paraiba","May",0,2006-01-01
"3437",2007,"Paraiba","May",0,2007-01-01
"3438",2008,"Paraiba","May",0,2008-01-01
"3439",2009,"Paraiba","May",0,2009-01-01
"3440",2010,"Paraiba","May",10,2010-01-01
"3441",2011,"Paraiba","May",0,2011-01-01
"3442",2012,"Paraiba","May",10,2012-01-01
"3443",2013,"Paraiba","May",3,2013-01-01
"3444",2014,"Paraiba","May",1,2014-01-01
"3445",2015,"Paraiba","May",6,2015-01-01
"3446",2016,"Paraiba","May",1,2016-01-01
"3447",2017,"Paraiba","May",1,2017-01-01
"3448",1998,"Paraiba","June",3,1998-01-01
"3449",1999,"Paraiba","June",1,1999-01-01
"3450",2000,"Paraiba","June",2,2000-01-01
"3451",2001,"Paraiba","June",0,2001-01-01
"3452",2002,"Paraiba","June",1,2002-01-01
"3453",2003,"Paraiba","June",0,2003-01-01
"3454",2004,"Paraiba","June",0,2004-01-01
"3455",2005,"Paraiba","June",0,2005-01-01
"3456",2006,"Paraiba","June",0,2006-01-01
"3457",2007,"Paraiba","June",0,2007-01-01
"3458",2008,"Paraiba","June",0,2008-01-01
"3459",2009,"Paraiba","June",0,2009-01-01
"3460",2010,"Paraiba","June",3,2010-01-01
"3461",2011,"Paraiba","June",2,2011-01-01
"3462",2012,"Paraiba","June",5,2012-01-01
"3463",2013,"Paraiba","June",3,2013-01-01
"3464",2014,"Paraiba","June",1,2014-01-01
"3465",2015,"Paraiba","June",0,2015-01-01
"3466",2016,"Paraiba","June",4,2016-01-01
"3467",2017,"Paraiba","June",0,2017-01-01
"3468",1998,"Paraiba","July",0,1998-01-01
"3469",1999,"Paraiba","July",1,1999-01-01
"3470",2000,"Paraiba","July",0,2000-01-01
"3471",2001,"Paraiba","July",8,2001-01-01
"3472",2002,"Paraiba","July",8,2002-01-01
"3473",2003,"Paraiba","July",6,2003-01-01
"3474",2004,"Paraiba","July",1,2004-01-01
"3475",2005,"Paraiba","July",0,2005-01-01
"3476",2006,"Paraiba","July",1,2006-01-01
"3477",2007,"Paraiba","July",1,2007-01-01
"3478",2008,"Paraiba","July",0,2008-01-01
"3479",2009,"Paraiba","July",3,2009-01-01
"3480",2010,"Paraiba","July",7,2010-01-01
"3481",2011,"Paraiba","July",6,2011-01-01
"3482",2012,"Paraiba","July",5,2012-01-01
"3483",2013,"Paraiba","July",1,2013-01-01
"3484",2014,"Paraiba","July",9,2014-01-01
"3485",2015,"Paraiba","July",3,2015-01-01
"3486",2016,"Paraiba","July",22,2016-01-01
"3487",2017,"Paraiba","July",2,2017-01-01
"3488",1998,"Paraiba","August",3,1998-01-01
"3489",1999,"Paraiba","August",4,1999-01-01
"3490",2000,"Paraiba","August",7,2000-01-01
"3491",2001,"Paraiba","August",34,2001-01-01
"3492",2002,"Paraiba","August",38,2002-01-01
"3493",2003,"Paraiba","August",14,2003-01-01
"3494",2004,"Paraiba","August",18,2004-01-01
"3495",2005,"Paraiba","August",0,2005-01-01
"3496",2006,"Paraiba","August",3,2006-01-01
"3497",2007,"Paraiba","August",8,2007-01-01
"3498",2008,"Paraiba","August",1,2008-01-01
"3499",2009,"Paraiba","August",4,2009-01-01
"3500",2010,"Paraiba","August",9,2010-01-01
"3501",2011,"Paraiba","August",12,2011-01-01
"3502",2012,"Paraiba","August",13,2012-01-01
"3503",2013,"Paraiba","August",3,2013-01-01
"3504",2014,"Paraiba","August",30,2014-01-01
"3505",2015,"Paraiba","August",5,2015-01-01
"3506",2016,"Paraiba","August",50,2016-01-01
"3507",2017,"Paraiba","August",3,2017-01-01
"3508",1998,"Paraiba","September",50,1998-01-01
"3509",1999,"Paraiba","September",14,1999-01-01
"3510",2000,"Paraiba","September",9,2000-01-01
"3511",2001,"Paraiba","September",98,2001-01-01
"3512",2002,"Paraiba","September",63,2002-01-01
"3513",2003,"Paraiba","September",81,2003-01-01
"3514",2004,"Paraiba","September",34,2004-01-01
"3515",2005,"Paraiba","September",13,2005-01-01
"3516",2006,"Paraiba","September",27,2006-01-01
"3517",2007,"Paraiba","September",22,2007-01-01
"3518",2008,"Paraiba","September",21,2008-01-01
"3519",2009,"Paraiba","September",28,2009-01-01
"3520",2010,"Paraiba","September",37,2010-01-01
"3521",2011,"Paraiba","September",55,2011-01-01
"3522",2012,"Paraiba","September",71,2012-01-01
"3523",2013,"Paraiba","September",25,2013-01-01
"3524",2014,"Paraiba","September",51,2014-01-01
"3525",2015,"Paraiba","September",48,2015-01-01
"3526",2016,"Paraiba","September",131,2016-01-01
"3527",2017,"Paraiba","September",30,2017-01-01
"3528",1998,"Paraiba","October",179,1998-01-01
"3529",1999,"Paraiba","October",48,1999-01-01
"3530",2000,"Paraiba","October",125,2000-01-01
"3531",2001,"Paraiba","October",279,2001-01-01
"3532",2002,"Paraiba","October",193,2002-01-01
"3533",2003,"Paraiba","October",381,2003-01-01
"3534",2004,"Paraiba","October",190,2004-01-01
"3535",2005,"Paraiba","October",155,2005-01-01
"3536",2006,"Paraiba","October",135,2006-01-01
"3537",2007,"Paraiba","October",111,2007-01-01
"3538",2008,"Paraiba","October",80,2008-01-01
"3539",2009,"Paraiba","October",117,2009-01-01
"3540",2010,"Paraiba","October",150,2010-01-01
"3541",2011,"Paraiba","October",200,2011-01-01
"3542",2012,"Paraiba","October",136,2012-01-01
"3543",2013,"Paraiba","October",58,2013-01-01
"3544",2014,"Paraiba","October",70,2014-01-01
"3545",2015,"Paraiba","October",121,2015-01-01
"3546",2016,"Paraiba","October",304,2016-01-01
"3547",2017,"Paraiba","October",123,2017-01-01
"3548",1998,"Paraiba","November",46,1998-01-01
"3549",1999,"Paraiba","November",38,1999-01-01
"3550",2000,"Paraiba","November",65,2000-01-01
"3551",2001,"Paraiba","November",294,2001-01-01
"3552",2002,"Paraiba","November",238,2002-01-01
"3553",2003,"Paraiba","November",538,2003-01-01
"3554",2004,"Paraiba","November",331,2004-01-01
"3555",2005,"Paraiba","November",280,2005-01-01
"3556",2006,"Paraiba","November",215,2006-01-01
"3557",2007,"Paraiba","November",256,2007-01-01
"3558",2008,"Paraiba","November",175,2008-01-01
"3559",2009,"Paraiba","November",428,2009-01-01
"3560",2010,"Paraiba","November",451,2010-01-01
"3561",2011,"Paraiba","November",359,2011-01-01
"3562",2012,"Paraiba","November",130,2012-01-01
"3563",2013,"Paraiba","November",95,2013-01-01
"3564",2014,"Paraiba","November",111,2014-01-01
"3565",2015,"Paraiba","November",206,2015-01-01
"3566",2016,"Paraiba","November",132,2016-01-01
"3567",2017,"Paraiba","November",101,2017-01-01
"3568",1998,"Paraiba","December",51,1998-01-01
"3569",1999,"Paraiba","December",40,1999-01-01
"3570",2000,"Paraiba","December",34,2000-01-01
"3571",2001,"Paraiba","December",70,2001-01-01
"3572",2002,"Paraiba","December",163,2002-01-01
"3573",2003,"Paraiba","December",288,2003-01-01
"3574",2004,"Paraiba","December",351,2004-01-01
"3575",2005,"Paraiba","December",159,2005-01-01
"3576",2006,"Paraiba","December",196,2006-01-01
"3577",2007,"Paraiba","December",133,2007-01-01
"3578",2008,"Paraiba","December",187,2008-01-01
"3579",2009,"Paraiba","December",270,2009-01-01
"3580",2010,"Paraiba","December",65,2010-01-01
"3581",2011,"Paraiba","December",179,2011-01-01
"3582",2012,"Paraiba","December",62,2012-01-01
"3583",2013,"Paraiba","December",78,2013-01-01
"3584",2014,"Paraiba","December",62,2014-01-01
"3585",2015,"Paraiba","December",122,2015-01-01
"3586",2016,"Paraiba","December",8,2016-01-01
"3587",1998,"Paraiba","January",0,1998-01-01
"3588",1999,"Paraiba","January",7,1999-01-01
"3589",2000,"Paraiba","January",49,2000-01-01
"3590",2001,"Paraiba","January",32,2001-01-01
"3591",2002,"Paraiba","January",47,2002-01-01
"3592",2003,"Paraiba","January",109,2003-01-01
"3593",2004,"Paraiba","January",88,2004-01-01
"3594",2005,"Paraiba","January",55,2005-01-01
"3595",2006,"Paraiba","January",78,2006-01-01
"3596",2007,"Paraiba","January",11,2007-01-01
"3597",2008,"Paraiba","January",35,2008-01-01
"3598",2009,"Paraiba","January",35,2009-01-01
"3599",2010,"Paraiba","January",18,2010-01-01
"3600",2011,"Paraiba","January",35,2011-01-01
"3601",2012,"Paraiba","January",31,2012-01-01
"3602",2013,"Paraiba","January",28,2013-01-01
"3603",2014,"Paraiba","January",86,2014-01-01
"3604",2015,"Paraiba","January",120,2015-01-01
"3605",2016,"Paraiba","January",113,2016-01-01
"3606",2017,"Paraiba","January",55,2017-01-01
"3607",1998,"Paraiba","February",0,1998-01-01
"3608",1999,"Paraiba","February",22,1999-01-01
"3609",2000,"Paraiba","February",67,2000-01-01
"3610",2001,"Paraiba","February",8,2001-01-01
"3611",2002,"Paraiba","February",24,2002-01-01
"3612",2003,"Paraiba","February",46,2003-01-01
"3613",2004,"Paraiba","February",42,2004-01-01
"3614",2005,"Paraiba","February",77,2005-01-01
"3615",2006,"Paraiba","February",60,2006-01-01
"3616",2007,"Paraiba","February",32,2007-01-01
"3617",2008,"Paraiba","February",38,2008-01-01
"3618",2009,"Paraiba","February",21,2009-01-01
"3619",2010,"Paraiba","February",46,2010-01-01
"3620",2011,"Paraiba","February",8,2011-01-01
"3621",2012,"Paraiba","February",40,2012-01-01
"3622",2013,"Paraiba","February",9,2013-01-01
"3623",2014,"Paraiba","February",52,2014-01-01
"3624",2015,"Paraiba","February",58,2015-01-01
"3625",2016,"Paraiba","February",31,2016-01-01
"3626",2017,"Paraiba","February",60,2017-01-01
"3627",1998,"Paraiba","March",0,1998-01-01
"3628",1999,"Paraiba","March",40,1999-01-01
"3629",2000,"Paraiba","March",52,2000-01-01
"3630",2001,"Paraiba","March",12,2001-01-01
"3631",2002,"Paraiba","March",18,2002-01-01
"3632",2003,"Paraiba","March",76,2003-01-01
"3633",2004,"Paraiba","March",83,2004-01-01
"3634",2005,"Paraiba","March",84,2005-01-01
"3635",2006,"Paraiba","March",56,2006-01-01
"3636",2007,"Paraiba","March",54,2007-01-01
"3637",2008,"Paraiba","March",43,2008-01-01
"3638",2009,"Paraiba","March",57,2009-01-01
"3639",2010,"Paraiba","March",22,2010-01-01
"3640",2011,"Paraiba","March",21,2011-01-01
"3641",2012,"Paraiba","March",55,2012-01-01
"3642",2013,"Paraiba","March",18,2013-01-01
"3643",2014,"Paraiba","March",42,2014-01-01
"3644",2015,"Paraiba","March",55,2015-01-01
"3645",2016,"Paraiba","March",63,2016-01-01
"3646",2017,"Paraiba","March",43,2017-01-01
"3647",1998,"Paraiba","April",0,1998-01-01
"3648",1999,"Paraiba","April",39,1999-01-01
"3649",2000,"Paraiba","April",51,2000-01-01
"3650",2001,"Paraiba","April",43,2001-01-01
"3651",2002,"Paraiba","April",84,2002-01-01
"3652",2003,"Paraiba","April",130,2003-01-01
"3653",2004,"Paraiba","April",68,2004-01-01
"3654",2005,"Paraiba","April",22,2005-01-01
"3655",2006,"Paraiba","April",49,2006-01-01
"3656",2007,"Paraiba","April",14,2007-01-01
"3657",2008,"Paraiba","April",62,2008-01-01
"3658",2009,"Paraiba","April",80,2009-01-01
"3659",2010,"Paraiba","April",71,2010-01-01
"3660",2011,"Paraiba","April",38,2011-01-01
"3661",2012,"Paraiba","April",38,2012-01-01
"3662",2013,"Paraiba","April",72,2013-01-01
"3663",2014,"Paraiba","April",38,2014-01-01
"3664",2015,"Paraiba","April",83,2015-01-01
"3665",2016,"Paraiba","April",167,2016-01-01
"3666",2017,"Paraiba","April",77,2017-01-01
"3667",1998,"Paraiba","May",0,1998-01-01
"3668",1999,"Paraiba","May",57,1999-01-01
"3669",2000,"Paraiba","May",43,2000-01-01
"3670",2001,"Paraiba","May",26,2001-01-01
