"","year","state","month","number","date"
"195",2012,"Acre","October",348,2012-01-01
"196",2013,"Acre","October",258,2013-01-01
"197",2014,"Acre","October",406,2014-01-01
"198",2015,"Acre","October",905,2015-01-01
"199",2016,"Acre","October",509,2016-01-01
"200",2017,"Acre","October",1.508,2017-01-01
"201",1998,"Acre","November",0,1998-01-01
"202",1999,"Acre","November",0,1999-01-01
"203",2000,"Acre","November",0,2000-01-01
"204",2001,"Acre","November",1,2001-01-01
"205",2002,"Acre","November",86,2002-01-01
"206",2003,"Acre","November",15,2003-01-01
"207",2004,"Acre","November",10,2004-01-01
"208",2005,"Acre","November",14,2005-01-01
"209",2006,"Acre","November",18,2006-01-01
"210",2007,"Acre","November",7,2007-01-01
"211",2008,"Acre","November",4,2008-01-01
"212",2009,"Acre","November",33,2009-01-01
"213",2010,"Acre","November",39,2010-01-01
"214",2011,"Acre","November",74,2011-01-01
"215",2012,"Acre","November",13,2012-01-01
"216",2013,"Acre","November",79,2013-01-01
"217",2014,"Acre","November",56,2014-01-01
"218",2015,"Acre","November",115,2015-01-01
"219",2016,"Acre","November",46,2016-01-01
"220",2017,"Acre","November",98,2017-01-01
"221",1998,"Acre","December",7,1998-01-01
"222",1999,"Acre","December",0,1999-01-01
"223",2000,"Acre","December",0,2000-01-01
"224",2001,"Acre","December",0,2001-01-01
"225",2002,"Acre","December",1,2002-01-01
"226",2003,"Acre","December",1,2003-01-01
"227",2004,"Acre","December",7,2004-01-01
"228",2005,"Acre","December",2,2005-01-01
"229",2006,"Acre","December",0,2006-01-01
"230",2007,"Acre","December",0,2007-01-01
"231",2008,"Acre","December",0,2008-01-01
"232",2009,"Acre","December",1,2009-01-01
"233",2010,"Acre","December",0,2010-01-01
"234",2011,"Acre","December",4,2011-01-01
"235",2012,"Acre","December",1,2012-01-01
"236",2013,"Acre","December",3,2013-01-01
"237",2014,"Acre","December",6,2014-01-01
"238",2015,"Acre","December",8,2015-01-01
"239",2016,"Acre","December",6,2016-01-01
"240",1998,"Alagoas","January",0,1998-01-01
"241",1999,"Alagoas","January",58,1999-01-01
"242",2000,"Alagoas","January",11,2000-01-01
"243",2001,"Alagoas","January",5,2001-01-01
"244",2002,"Alagoas","January",12,2002-01-01
"245",2003,"Alagoas","January",150,2003-01-01
